timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1628490339476,74213,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490339476,99798,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490339476,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490340821,74190,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490340821,99400,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490340821,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490341948,74101,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490341948,99630,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490341948,378000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490343024,74158,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490343024,99833,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490343024,1176000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490344025,74135,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490344025,100000,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490344025,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490345025,74200,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490345025,99830,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490345025,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490346026,74282,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490346026,99816,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490346026,1414000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490347064,73981,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490347064,99824,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490347064,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490348204,73999,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490348204,99475,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490348204,546000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490349205,73962,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490349205,100000,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490349205,980000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490350287,73976,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490350288,100000,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490350288,5887000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490351518,74080,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490351518,99659,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490351518,41244000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490352519,74206,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490352519,99622,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490352519,4200000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490353534,74159,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490353534,99620,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490353534,4200000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490354701,74500,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490354701,100000,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490354701,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490355794,74379,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490355794,99820,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490355794,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490356822,74374,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490356823,100000,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490356823,10745000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490357978,74418,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490357978,99314,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490357978,9688000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490358978,74161,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490358978,100000,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490358978,40061000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490359979,74140,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490359979,99812,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490359979,45528000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490361047,74196,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490361047,100000,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490361047,13370000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490362156,74203,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490362156,99829,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490362156,63847000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490363157,74209,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490363157,99633,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490363157,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490364416,74299,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490364416,99827,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
